"","municipio_code","municipio_name","region","long.x","lat.x","order","hole","piece","id","group","state_code","state_name","state_name_official","state_abbr","state_abbr_official","year","pop","pop_male","pop_female","afromexican","indigenous_language","metro_area","long.y","lat.y","Inversión.por.metro.cuadrado","porc_no_entub","due_tot","ind_ce_tot","sin_dre","serv_prom"
"30","10","Álvaro Obregón","09010",-99.20047568,19.31140609,17955,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"31","10","Álvaro Obregón","09010",-99.20047371,19.31140397,17956,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"32","10","Álvaro Obregón","09010",-99.20058182,19.3108062,17957,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"33","10","Álvaro Obregón","09010",-99.20575217,19.30568188,17958,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"34","10","Álvaro Obregón","09010",-99.21992543,19.31226363,17959,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"35","10","Álvaro Obregón","09010",-99.22096032,19.3159578,17960,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"36","10","Álvaro Obregón","09010",-99.2209726,19.31603122,17961,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"37","10","Álvaro Obregón","09010",-99.2205714,19.32099035,17962,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"38","10","Álvaro Obregón","09010",-99.22044903,19.32109674,17963,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"39","10","Álvaro Obregón","09010",-99.20838778,19.33785131,17964,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"40","10","Álvaro Obregón","09010",-99.20885048,19.33763192,17965,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"41","10","Álvaro Obregón","09010",-99.25591525,19.32572551,17966,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"42","10","Álvaro Obregón","09010",-99.256113,19.32543411,17967,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"43","10","Álvaro Obregón","09010",-99.26244048,19.31716618,17968,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"44","10","Álvaro Obregón","09010",-99.26277182,19.31677988,17969,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"45","10","Álvaro Obregón","09010",-99.26572394,19.31367431,17970,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"46","10","Álvaro Obregón","09010",-99.26605346,19.31345025,17971,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"47","10","Álvaro Obregón","09010",-99.26762783,19.31415155,17972,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"48","10","Álvaro Obregón","09010",-99.26779988,19.31419514,17973,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"49","10","Álvaro Obregón","09010",-99.26953392,19.31355825,17974,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"50","10","Álvaro Obregón","09010",-99.27013831,19.31241798,17975,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"51","10","Álvaro Obregón","09010",-99.27054466,19.31193668,17976,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"52","10","Álvaro Obregón","09010",-99.27133563,19.30827889,17977,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"53","10","Álvaro Obregón","09010",-99.27088603,19.30678914,17978,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"54","10","Álvaro Obregón","09010",-99.27000769,19.30576883,17979,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"55","10","Álvaro Obregón","09010",-99.26917368,19.30550238,17980,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"56","10","Álvaro Obregón","09010",-99.26843025,19.30511562,17981,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"57","10","Álvaro Obregón","09010",-99.2693114,19.30463548,17982,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"58","10","Álvaro Obregón","09010",-99.26936454,19.30461429,17983,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"59","10","Álvaro Obregón","09010",-99.26990231,19.30437398,17984,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"60","10","Álvaro Obregón","09010",-99.27061957,19.30396989,17985,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
"61","10","Álvaro Obregón","09010",-99.2708136,19.30373028,17986,FALSE,"1","09010","09010.1","09","Ciudad de México","Ciudad de México","CDMX","CDMX",2020,759137,361007,398130,16042,8492,"Valle de México",-99.195413,19.390806,1407.28,1.365043253,26012,13.3556305,0,42
